Color Name,Brand,tier,has_color_word,word_count,char_length,avg_word_rarity,has_place_word
Mizzle,Farrow & Ball,Luxury,False,1,6,1.66e-08,False
Mole's Breath,Farrow & Ball,Luxury,False,2,13,1.6578749999999998e-05,False
Mouse's Back,Farrow & Ball,Luxury,False,2,12,0.0005500955000000001,False
Nancy's Blushes,Farrow & Ball,Luxury,False,2,15,5.465e-07,False
Naperon,Farrow & Ball,Luxury,False,1,7,0.0,False
New White,Farrow & Ball,Luxury,True,2,9,0.001052,False
Off-Black,Farrow & Ball,Luxury,True,1,9,0.000215,False
Off-White,Farrow & Ball,Luxury,True,1,9,0.000234,False
Old White,Farrow & Ball,Luxury,True,2,9,0.00044300000000000003,False
Oval Room Blue,Farrow & Ball,Luxury,True,3,14,0.00012985,False
Oxford Stone,Farrow & Ball,Luxury,False,2,12,4.355e-05,False
Paean Black,Farrow & Ball,Luxury,True,2,11,0.0001441285,False
Pale Hound,Farrow & Ball,Luxury,False,2,10,7.345e-06,False
Pale Powder,Farrow & Ball,Luxury,False,2,11,1.49e-05,False
Parma Gray,Farrow & Ball,Luxury,True,2,10,1.461e-05,False
Pavilion Blue,Farrow & Ball,Luxury,True,2,13,6.9585e-05,False
Pavilion Gray,Farrow & Ball,Luxury,True,2,13,1.6185000000000002e-05,False
Pea Flower Tea,Farrow & Ball,Luxury,False,3,14,2.7823333333333332e-05,False
Peignoir,Farrow & Ball,Luxury,False,1,8,2.88e-08,False
Pelt,Farrow & Ball,Luxury,False,1,4,7.76e-07,False
Picture Gallery Red,Farrow & Ball,Luxury,True,3,19,0.00012496666666666668,False
Pigeon,Farrow & Ball,Luxury,False,1,6,4.07e-06,False
Pink Ground,Farrow & Ball,Luxury,True,2,11,8.705e-05,False
Pitch Black,Farrow & Ball,Luxury,True,2,11,0.00015745,False
Pitch Blue,Farrow & Ball,Luxury,True,2,10,8.095e-05,False
Plummett,Farrow & Ball,Luxury,False,1,8,0.0,False
Pointing,Farrow & Ball,Luxury,False,1,8,1.58e-05,False
Preference Red,Farrow & Ball,Luxury,True,2,14,0.00011095,False
Purbeck Stone,Farrow & Ball,Luxury,False,2,13,3.159665e-05,False
Radicchio,Farrow & Ball,Luxury,False,1,9,7.08e-08,False
Railings,Farrow & Ball,Luxury,False,1,8,1e-06,False
Rangwali,Farrow & Ball,Luxury,False,1,8,0.0,False
Raw Tomatillo,Farrow & Ball,Luxury,False,2,13,1.6972849999999998e-05,False
Rectory Red,Farrow & Ball,Luxury,True,2,11,0.0001048795,False
Red Earth,Farrow & Ball,Luxury,True,2,9,0.000162,False
Reduced Green,Farrow & Ball,Luxury,True,2,13,8.935e-05,False
Roasted Macadamia,Farrow & Ball,Luxury,False,2,17,2.8545e-06,False
Romesco,Farrow & Ball,Luxury,False,1,7,2.69e-08,False
Salon Drab,Farrow & Ball,Luxury,False,2,10,4.215e-06,False
Sap Green,Farrow & Ball,Luxury,True,2,9,6.949e-05,False
Sardine,Farrow & Ball,Luxury,False,1,7,4.57e-07,False
Savage Ground,Farrow & Ball,Luxury,False,2,13,7.61e-05,False
